,Transaction_ID,Sale_Date,Shoe_Model,Colorway,Condition,Retail_Price_USD,Resale_Price_USD,Sales_Channel,Days_in_Inventory,Profit_Margin_USD
13,TRX-100014,2023-04-01,Air Jordan 1 High,Black Cat,VNDS (Very Near Deadstock),188.0,200.98,kick hub 2026,57.0,12.97999999999999
14,TRX-100015,2024-07-09,Air Jordan 4 Retro,Sail,VNDS (Very Near Deadstock),219.0,306.35,walk-in retail,34.0,87.35000000000002
15,TRX-100016,2025-09-11,Air Jordan 3 Retro,Chicago,VNDS (Very Near Deadstock),202.0,221.73,goat,13.0,19.72999999999999
16,TRX-100017,2024-05-31,Air Jordan 1 High,Military Blue,Used,180.0,134.74,stadium goods,54.0,-45.25999999999999
17,TRX-100018,2023-12-06,Air Jordan 4 Retro,Bred,Used,213.0,162.53,goat,9.0,-50.47
18,TRX-100019,2025-01-14,Air Jordan 4 Retro,Black Cat,Deadstock (Brand New),225.0,305.36,stadium goods,11.0,80.36000000000001
19,TRX-100020,2023-10-24,Air Jordan 1 Low,Military Blue,VNDS (Very Near Deadstock),117.0,165.88,stockx,1.0,48.88
20,TRX-100021,2023-03-12,Air Jordan 1 High,Concord,Used,189.0,168.98,kick hub 2026,55.0,-20.02000000000001
21,TRX-100022,2023-07-03,Air Jordan 1 Low,Concord,Deadstock (Brand New),138.0,320.72,walk-in retail,34.0,182.72000000000003
22,TRX-100023,2024-08-30,Air Jordan 1 Low,Lost & Found,VNDS (Very Near Deadstock),130.0,124.66,walk-in retail,37.0,-5.340000000000003
23,TRX-100024,2024-06-25,Air Jordan 1 Low,Pine Green,Used,121.0,96.9,stockx,7.0,-24.099999999999994
24,TRX-100025,2024-07-24,Air Jordan 11 Retro,Chicago,Used,229.0,179.29,goat,10.0,-49.71000000000001
25,TRX-100026,2023-08-27,Air Jordan 1 Low,Chicago,Used,127.0,68.52,goat,2.0,-58.48
27,TRX-100028,2024-12-12,Air Jordan 11 Retro,Lost & Found,Used,226.0,168.45,walk-in retail,37.0,-57.55000000000001
28,TRX-100029,2025-07-06,Air Jordan 1 Low,Military Blue,Used,116.0,69.03,stockx,6.0,-46.97
29,TRX-100030,2025-05-05,Air Jordan 11 Retro,Sail,VNDS (Very Near Deadstock),228.0,241.43,stadium goods,16.0,13.430000000000009
30,TRX-100031,2024-01-24,Air Jordan 4 Retro,Bred,VNDS (Very Near Deadstock),216.0,306.37,stadium goods,47.0,90.37
31,TRX-100032,2024-01-22,Air Jordan 3 Retro,Military Blue,Deadstock (Brand New),207.0,680.6,stadium goods,57.0,473.6
32,TRX-100033,2025-01-19,Air Jordan 11 Retro,Chicago,Deadstock (Brand New),227.0,591.57,stockx,14.0,364.5700000000001
33,TRX-100034,2023-06-01,Air Jordan 1 High,Military Blue,Used,188.0,97.46,stadium goods,53.0,-90.54
34,TRX-100035,2024-10-04,Air Jordan 4 Retro,Pine Green,Deadstock (Brand New),219.0,524.34,goat,1.0,305.34000000000003
35,TRX-100036,2025-08-13,Air Jordan 1 High,Black Cat,VNDS (Very Near Deadstock),189.0,235.47,stadium goods,37.0,46.47
36,TRX-100037,2025-08-15,Air Jordan 1 High,Mocha,Deadstock (Brand New),188.0,427.01,stockx,9.0,239.01
37,TRX-100038,2025-01-22,Air Jordan 1 Low,Lost & Found,Deadstock (Brand New),121.0,304.5,stockx,7.0,183.5
38,TRX-100039,2025-05-05,Air Jordan 11 Retro,Military Blue,VNDS (Very Near Deadstock),225.0,301.25,goat,6.0,76.25
39,TRX-100040,2024-04-18,Air Jordan 1 Low,Black Cat,Deadstock (Brand New),126.0,168.65,stockx,4.0,42.650000000000006
40,TRX-100041,2023-08-20,Air Jordan 3 Retro,Bred,Used,210.0,154.65,walk-in retail,50.0,-55.35
41,TRX-100042,2025-01-02,Air Jordan 11 Retro,Sail,VNDS (Very Near Deadstock),228.0,299.99,stadium goods,50.0,71.99000000000001
42,TRX-100043,2025-04-07,Air Jordan 1 Low,Lost & Found,Used,133.0,73.06,stockx,2.0,-59.94
43,TRX-100044,2023-08-30,Air Jordan 1 High,Bred,VNDS (Very Near Deadstock),183.0,225.13,stockx,5.0,42.13
44,TRX-100045,2024-09-15,Air Jordan 1 High,Concord,VNDS (Very Near Deadstock),179.0,169.88,goat,12.0,-9.120000000000005
45,TRX-100046,2023-04-26,Air Jordan 4 Retro,Chicago,Used,218.0,123.44,kick hub 2026,34.0,-94.56
46,TRX-100047,2023-01-25,Air Jordan 3 Retro,Bred,Deadstock (Brand New),200.0,319.99,goat,7.0,119.99
47,TRX-100048,2024-10-30,Air Jordan 11 Retro,Pine Green,Deadstock (Brand New),228.0,555.5,stockx,11.0,327.5
48,TRX-100049,2023-03-23,Air Jordan 3 Retro,Military Blue,Used,202.0,108.51,stockx,5.0,-93.49
49,TRX-100050,2023-12-02,Air Jordan 4 Retro,Pine Green,VNDS (Very Near Deadstock),220.0,302.88,kick hub 2026,35.0,82.88
50,TRX-100051,2024-05-13,Air Jordan 3 Retro,Mocha,Used,200.0,171.01,stadium goods,47.0,-28.99000000000001
51,TRX-100052,2024-10-12,Air Jordan 1 Low,Black Cat,Used,125.0,97.66,stadium goods,21.0,-27.340000000000003
52,TRX-100053,2024-05-11,Air Jordan 3 Retro,Black Cat,Deadstock (Brand New),208.0,446.15,kick hub 2026,20.0,238.15
54,TRX-100055,2025-06-20,Air Jordan 3 Retro,Bred,VNDS (Very Near Deadstock),202.0,211.51,stockx,8.0,9.509999999999993
55,TRX-100056,2024-05-19,Air Jordan 1 Low,Sail,VNDS (Very Near Deadstock),132.0,170.01,kick hub 2026,7.0,38.00999999999999
56,TRX-100057,2024-10-05,Air Jordan 11 Retro,Sail,Used,229.0,184.37,kick hub 2026,53.0,-44.63
57,TRX-100058,2023-05-27,Air Jordan 1 High,Pine Green,VNDS (Very Near Deadstock),176.0,163.4,stadium goods,31.0,-12.599999999999994
58,TRX-100059,2024-10-13,Air Jordan 1 Low,Concord,VNDS (Very Near Deadstock),112.0,110.41,kick hub 2026,57.0,-1.5900000000000034
59,TRX-100060,2024-07-30,Air Jordan 11 Retro,Chicago,VNDS (Very Near Deadstock),228.0,212.72,goat,11.0,-15.28
60,TRX-100061,2024-12-16,Air Jordan 4 Retro,Sail,VNDS (Very Near Deadstock),211.0,193.96,walk-in retail,50.0,-17.039999999999992
61,TRX-100062,2024-08-06,Air Jordan 1 High,Pine Green,VNDS (Very Near Deadstock),173.0,200.36,stadium goods,55.0,27.360000000000014
62,TRX-100063,2024-01-26,Air Jordan 3 Retro,Black Cat,Used,208.0,118.61,kick hub 2026,32.0,-89.39
63,TRX-100064,2024-12-09,Air Jordan 1 High,Bred,Used,170.0,101.7,kick hub 2026,28.0,-68.3
64,TRX-100065,2024-10-04,Air Jordan 4 Retro,Bred,VNDS (Very Near Deadstock),211.0,191.93,stockx,1.0,-19.069999999999997
65,TRX-100066,2025-08-31,Air Jordan 1 Low,Sail,Deadstock (Brand New),132.0,247.89,walk-in retail,32.0,115.89
66,TRX-100067,2025-02-21,Air Jordan 11 Retro,Military Blue,Deadstock (Brand New),226.0,670.42,stockx,8.0,444.42
67,TRX-100068,2025-06-15,Air Jordan 4 Retro,Chicago,Used,220.0,181.97,goat,5.0,-38.03
68,TRX-100069,2023-06-21,Air Jordan 11 Retro,Concord,Used,229.0,134.64,walk-in retail,51.0,-94.36
69,TRX-100070,2023-03-19,Air Jordan 1 High,Pine Green,Used,181.0,117.95,walk-in retail,54.0,-63.05
70,TRX-100071,2025-07-05,Air Jordan 3 Retro,Sail,VNDS (Very Near Deadstock),202.0,193.83,stockx,14.0,-8.169999999999987
71,TRX-100072,2024-11-05,Air Jordan 3 Retro,Chicago,Deadstock (Brand New),204.0,391.7,stockx,9.0,187.7
72,TRX-100073,2025-02-25,Air Jordan 1 High,Sail,Used,182.0,142.64,goat,12.0,-39.360000000000014
74,TRX-100075,2024-10-08,Air Jordan 1 High,Bred,VNDS (Very Near Deadstock),187.0,225.83,stadium goods,21.0,38.83000000000001
75,TRX-100076,2024-04-08,Air Jordan 11 Retro,Lost & Found,Deadstock (Brand New),230.0,580.21,stockx,12.0,350.21000000000004
76,TRX-100077,2023-03-22,Air Jordan 3 Retro,Pine Green,Deadstock (Brand New),207.0,593.96,stockx,1.0,386.96
77,TRX-100078,2024-07-18,Air Jordan 11 Retro,Chicago,Deadstock (Brand New),230.0,451.82,kick hub 2026,58.0,221.82
78,TRX-100079,2024-03-18,Air Jordan 3 Retro,Military Blue,VNDS (Very Near Deadstock),204.0,302.94,walk-in retail,46.0,98.94
79,TRX-100080,2025-03-24,Air Jordan 1 High,Pine Green,VNDS (Very Near Deadstock),182.0,261.39,kick hub 2026,55.0,79.38999999999999
80,TRX-100081,2023-01-13,Air Jordan 4 Retro,Concord,Deadstock (Brand New),213.0,596.74,stockx,3.0,383.74
81,TRX-100082,2025-07-15,Air Jordan 4 Retro,Sail,VNDS (Very Near Deadstock),211.0,207.22,stockx,9.0,-3.780000000000001
82,TRX-100083,2023-09-29,Air Jordan 11 Retro,Concord,VNDS (Very Near Deadstock),229.0,265.47,kick hub 2026,27.0,36.47000000000003
83,TRX-100084,2024-03-03,Air Jordan 3 Retro,Bred,Used,210.0,141.72,stadium goods,36.0,-68.28
84,TRX-100085,2025-04-13,Air Jordan 11 Retro,Bred,Deadstock (Brand New),225.0,340.7,goat,6.0,115.7
85,TRX-100086,2025-08-02,Air Jordan 4 Retro,Pine Green,Used,222.0,140.12,kick hub 2026,39.0,-81.88
86,TRX-100087,2025-06-03,Air Jordan 4 Retro,Lost & Found,VNDS (Very Near Deadstock),217.0,308.89,stadium goods,55.0,91.89
87,TRX-100088,2023-11-03,Air Jordan 4 Retro,Chicago,Used,222.0,120.14,stadium goods,58.0,-101.86
88,TRX-100089,2023-01-17,Air Jordan 3 Retro,Concord,VNDS (Very Near Deadstock),206.0,256.38,walk-in retail,53.0,50.38
89,TRX-100090,2024-05-12,Air Jordan 11 Retro,Chicago,VNDS (Very Near Deadstock),227.0,245.01,goat,4.0,18.00999999999999
90,TRX-100091,2025-07-12,Air Jordan 1 Low,Sail,Used,120.0,64.67,goat,1.0,-55.33
91,TRX-100092,2025-03-26,Air Jordan 1 Low,Concord,Deadstock (Brand New),110.0,170.49,kick hub 2026,10.0,60.49000000000001
92,TRX-100093,2023-07-21,Air Jordan 1 High,Sail,Used,185.0,114.59,goat,3.0,-70.41
93,TRX-100094,2024-08-13,Air Jordan 3 Retro,Chicago,Deadstock (Brand New),200.0,496.04,stadium goods,57.0,296.04
94,TRX-100095,2025-04-29,Air Jordan 4 Retro,Black Cat,VNDS (Very Near Deadstock),218.0,253.06,walk-in retail,26.0,35.06
95,TRX-100096,2024-08-07,Air Jordan 1 Low,Chicago,Used,122.0,91.84,stadium goods,59.0,-30.16
96,TRX-100097,2025-02-17,Air Jordan 1 High,Chicago,VNDS (Very Near Deadstock),185.0,267.18,walk-in retail,40.0,82.18
97,TRX-100098,2025-09-26,Air Jordan 3 Retro,Black Cat,Used,209.0,126.82,goat,13.0,-82.18
98,TRX-100099,2025-01-19,Air Jordan 11 Retro,Pine Green,Used,227.0,116.83,walk-in retail,18.0,-110.17
99,TRX-100100,2023-11-14,Air Jordan 3 Retro,Lost & Found,Used,209.0,187.83,walk-in retail,34.0,-21.169999999999987
100,TRX-100101,2023-07-04,Air Jordan 11 Retro,Bred,Used,229.0,185.03,walk-in retail,23.0,-43.97
101,TRX-100102,2023-02-12,Air Jordan 1 Low,Bred,Deadstock (Brand New),115.0,398.6,goat,4.0,283.6
102,TRX-100103,2023-06-08,Air Jordan 4 Retro,Mocha,VNDS (Very Near Deadstock),213.0,271.36,goat,13.0,58.360000000000014
103,TRX-100104,2024-08-24,Air Jordan 1 Low,Pine Green,Deadstock (Brand New),128.0,380.27,walk-in retail,7.0,252.27
104,TRX-100105,2023-10-23,Air Jordan 4 Retro,Mocha,VNDS (Very Near Deadstock),213.0,316.7,stockx,8.0,103.7
105,TRX-100106,2024-07-20,Air Jordan 3 Retro,Black Cat,Used,203.0,155.9,kick hub 2026,58.0,-47.1
106,TRX-100107,2023-11-15,Air Jordan 11 Retro,Pine Green,VNDS (Very Near Deadstock),226.0,271.02,kick hub 2026,52.0,45.01999999999998
107,TRX-100108,2023-05-04,Air Jordan 1 Low,Mocha,VNDS (Very Near Deadstock),127.0,166.77,stockx,7.0,39.77000000000001
108,TRX-100109,2025-04-11,Air Jordan 1 Low,Pine Green,Used,124.0,96.13,kick hub 2026,45.0,-27.870000000000005
109,TRX-100110,2025-02-08,Air Jordan 1 Low,Pine Green,VNDS (Very Near Deadstock),126.0,113.7,kick hub 2026,32.0,-12.299999999999995
110,TRX-100111,2023-09-14,Air Jordan 3 Retro,Military Blue,Deadstock (Brand New),206.0,670.71,walk-in retail,48.0,464.71
111,TRX-100112,2023-01-08,Air Jordan 1 Low,Chicago,Used,114.0,57.12,stockx,14.0,-56.88
112,TRX-100113,2025-03-06,Air Jordan 11 Retro,Military Blue,Deadstock (Brand New),228.0,352.01,walk-in retail,22.0,124.01
113,TRX-100114,2023-10-09,Air Jordan 3 Retro,Pine Green,VNDS (Very Near Deadstock),208.0,202.7,walk-in retail,29.0,-5.300000000000011
114,TRX-100115,2023-11-17,Air Jordan 1 High,Concord,Deadstock (Brand New),185.0,638.41,stadium goods,37.0,453.41
115,TRX-100116,2025-02-24,Air Jordan 3 Retro,Sail,Deadstock (Brand New),202.0,662.24,stadium goods,33.0,460.24
116,TRX-100117,2025-06-14,Air Jordan 4 Retro,Mocha,Used,213.0,167.9,stadium goods,52.0,-45.1
117,TRX-100118,2024-05-19,Air Jordan 11 Retro,Black Cat,Used,228.0,156.45,stadium goods,46.0,-71.55000000000001
118,TRX-100119,2023-03-21,Air Jordan 4 Retro,Black Cat,VNDS (Very Near Deadstock),225.0,215.69,goat,1.0,-9.310000000000002
120,TRX-100121,2025-03-30,Air Jordan 11 Retro,Sail,Deadstock (Brand New),225.0,431.8,goat,8.0,206.8
121,TRX-100122,2023-09-19,Air Jordan 1 Low,Pine Green,VNDS (Very Near Deadstock),122.0,173.33,walk-in retail,33.0,51.33000000000001
122,TRX-100123,2025-01-01,Air Jordan 11 Retro,Pine Green,VNDS (Very Near Deadstock),229.0,334.39,walk-in retail,34.0,105.39
123,TRX-100124,2025-01-23,Air Jordan 4 Retro,Black Cat,Deadstock (Brand New),219.0,553.43,kick hub 2026,29.0,334.42999999999995
124,TRX-100125,2025-01-10,Air Jordan 4 Retro,Pine Green,VNDS (Very Near Deadstock),210.0,199.34,stockx,11.0,-10.659999999999997
125,TRX-100126,2025-07-19,Air Jordan 3 Retro,Lost & Found,Used,200.0,139.98,stockx,2.0,-60.02000000000001
126,TRX-100127,2024-01-19,Air Jordan 1 Low,Military Blue,VNDS (Very Near Deadstock),114.0,109.48,walk-in retail,41.0,-4.519999999999996
127,TRX-100128,2025-08-07,Air Jordan 3 Retro,Lost & Found,Used,200.0,106.63,stadium goods,17.0,-93.37
128,TRX-100129,2024-12-14,Air Jordan 3 Retro,Mocha,Deadstock (Brand New),209.0,448.74,stockx,6.0,239.74
129,TRX-100130,2025-07-07,Air Jordan 11 Retro,Mocha,Deadstock (Brand New),230.0,452.78,stockx,2.0,222.78
130,TRX-100131,2025-07-02,Air Jordan 3 Retro,Black Cat,Used,206.0,120.27,goat,1.0,-85.73
131,TRX-100132,2024-06-25,Air Jordan 11 Retro,Sail,VNDS (Very Near Deadstock),228.0,261.4,stockx,5.0,33.39999999999998
132,TRX-100133,2023-03-12,Air Jordan 3 Retro,Sail,Deadstock (Brand New),207.0,667.69,goat,7.0,460.69000000000005
133,TRX-100134,2024-12-08,Air Jordan 4 Retro,Lost & Found,Deadstock (Brand New),214.0,447.0,stadium goods,40.0,233.0
134,TRX-100135,2024-11-11,Air Jordan 11 Retro,Lost & Found,Used,230.0,189.06,goat,7.0,-40.94
135,TRX-100136,2025-04-27,Air Jordan 1 High,Mocha,VNDS (Very Near Deadstock),176.0,187.96,walk-in retail,50.0,11.960000000000008
136,TRX-100137,2024-07-31,Air Jordan 1 Low,Mocha,Deadstock (Brand New),138.0,240.47,stadium goods,42.0,102.47
137,TRX-100138,2023-02-19,Air Jordan 4 Retro,Lost & Found,Used,216.0,166.68,stockx,6.0,-49.31999999999999
139,TRX-100140,2023-05-21,Air Jordan 1 High,Concord,VNDS (Very Near Deadstock),172.0,242.38,stockx,2.0,70.38
140,TRX-100141,2025-05-19,Air Jordan 11 Retro,Chicago,VNDS (Very Near Deadstock),230.0,281.0,goat,10.0,51.0
141,TRX-100142,2025-05-09,Air Jordan 1 Low,Lost & Found,Deadstock (Brand New),129.0,228.99,kick hub 2026,15.0,99.99
142,TRX-100143,2025-08-15,Air Jordan 11 Retro,Pine Green,Used,228.0,118.31,kick hub 2026,37.0,-109.69
143,TRX-100144,2024-06-14,Air Jordan 1 Low,Pine Green,Used,131.0,68.99,kick hub 2026,11.0,-62.010000000000005
144,TRX-100145,2024-08-04,Air Jordan 1 Low,Military Blue,VNDS (Very Near Deadstock),128.0,184.96,stadium goods,26.0,56.96000000000001
145,TRX-100146,2024-01-21,Air Jordan 1 Low,Pine Green,Used,130.0,88.39,stockx,7.0,-41.61
146,TRX-100147,2023-01-23,Air Jordan 3 Retro,Pine Green,Deadstock (Brand New),204.0,593.18,stockx,10.0,389.18
147,TRX-100148,2024-07-31,Air Jordan 1 High,Concord,Used,172.0,110.16,stadium goods,26.0,-61.84
148,TRX-100149,2024-02-15,Air Jordan 3 Retro,Mocha,Used,203.0,181.72,goat,13.0,-21.28
149,TRX-100150,2023-04-03,Air Jordan 3 Retro,Lost & Found,Used,204.0,126.16,stadium goods,10.0,-77.84
150,TRX-100151,2023-02-17,Air Jordan 3 Retro,Chicago,VNDS (Very Near Deadstock),205.0,278.84,walk-in retail,54.0,73.83999999999997
151,TRX-100152,2025-05-22,Air Jordan 1 Low,Concord,Deadstock (Brand New),123.0,268.24,stadium goods,54.0,145.24
152,TRX-100153,2023-05-11,Air Jordan 1 Low,Mocha,Deadstock (Brand New),124.0,397.45,stadium goods,58.0,273.45
153,TRX-100154,2023-06-27,Air Jordan 3 Retro,Black Cat,Used,209.0,175.28,walk-in retail,17.0,-33.72
154,TRX-100155,2025-07-11,Air Jordan 3 Retro,Chicago,Used,209.0,150.85,goat,10.0,-58.150000000000006
155,TRX-100156,2025-09-15,Air Jordan 4 Retro,Sail,Deadstock (Brand New),221.0,498.32,walk-in retail,53.0,277.32
156,TRX-100157,2023-03-19,Air Jordan 4 Retro,Chicago,Used,218.0,179.27,goat,14.0,-38.72999999999999
157,TRX-100158,2024-12-05,Air Jordan 11 Retro,Lost & Found,VNDS (Very Near Deadstock),227.0,271.15,stadium goods,12.0,44.14999999999998
158,TRX-100159,2024-07-16,Air Jordan 4 Retro,Black Cat,VNDS (Very Near Deadstock),215.0,217.54,kick hub 2026,52.0,2.539999999999992
159,TRX-100160,2024-10-21,Air Jordan 11 Retro,Sail,VNDS (Very Near Deadstock),226.0,217.63,stadium goods,30.0,-8.370000000000005
160,TRX-100161,2023-03-04,Air Jordan 1 Low,Sail,Deadstock (Brand New),113.0,219.47,kick hub 2026,40.0,106.47
161,TRX-100162,2024-02-13,Air Jordan 1 Low,Military Blue,Used,135.0,75.07,stadium goods,19.0,-59.93000000000001
162,TRX-100163,2023-10-23,Air Jordan 4 Retro,Pine Green,VNDS (Very Near Deadstock),211.0,300.65,walk-in retail,13.0,89.64999999999998
163,TRX-100164,2024-03-27,Air Jordan 4 Retro,Mocha,Deadstock (Brand New),219.0,670.79,kick hub 2026,13.0,451.79
164,TRX-100165,2025-08-08,Air Jordan 4 Retro,Military Blue,Deadstock (Brand New),212.0,369.48,goat,5.0,157.48000000000002
165,TRX-100166,2024-02-10,Air Jordan 3 Retro,Military Blue,VNDS (Very Near Deadstock),203.0,187.45,stadium goods,58.0,-15.550000000000011
166,TRX-100167,2024-02-14,Air Jordan 11 Retro,Sail,Deadstock (Brand New),226.0,530.98,stadium goods,51.0,304.98
167,TRX-100168,2024-06-26,Air Jordan 3 Retro,Concord,Used,200.0,110.61,goat,8.0,-89.39
168,TRX-100169,2025-03-09,Air Jordan 4 Retro,Black Cat,VNDS (Very Near Deadstock),210.0,217.43,walk-in retail,5.0,7.430000000000007
169,TRX-100170,2024-02-18,Air Jordan 1 High,Sail,Deadstock (Brand New),190.0,650.91,kick hub 2026,28.0,460.91
170,TRX-100171,2023-03-20,Air Jordan 4 Retro,Chicago,Deadstock (Brand New),217.0,538.58,stadium goods,52.0,321.58000000000004
171,TRX-100172,2024-09-19,Air Jordan 3 Retro,Lost & Found,Deadstock (Brand New),200.0,370.77,stockx,9.0,170.76999999999998
172,TRX-100173,2024-03-24,Air Jordan 3 Retro,Concord,Used,210.0,132.39,stadium goods,46.0,-77.61000000000001
173,TRX-100174,2024-06-17,Air Jordan 11 Retro,Mocha,VNDS (Very Near Deadstock),226.0,220.39,stockx,10.0,-5.610000000000014
174,TRX-100175,2024-01-12,Air Jordan 1 Low,Pine Green,Used,137.0,74.43,walk-in retail,15.0,-62.56999999999999
175,TRX-100176,2023-06-28,Air Jordan 1 High,Chicago,Deadstock (Brand New),187.0,459.93,kick hub 2026,42.0,272.93
176,TRX-100177,2023-08-07,Air Jordan 4 Retro,Military Blue,VNDS (Very Near Deadstock),218.0,208.31,stockx,14.0,-9.689999999999998
177,TRX-100178,2023-08-06,Air Jordan 3 Retro,Chicago,Used,210.0,183.61,stadium goods,41.0,-26.389999999999983
178,TRX-100179,2025-04-17,Air Jordan 1 High,Lost & Found,VNDS (Very Near Deadstock),177.0,238.95,walk-in retail,51.0,61.94999999999999
179,TRX-100180,2023-11-05,Air Jordan 11 Retro,Sail,VNDS (Very Near Deadstock),225.0,288.71,walk-in retail,17.0,63.70999999999998
180,TRX-100181,2023-04-10,Air Jordan 1 Low,Sail,Used,130.0,83.33,stockx,1.0,-46.67
181,TRX-100182,2025-07-24,Air Jordan 11 Retro,Military Blue,Deadstock (Brand New),226.0,475.82,goat,13.0,249.82
182,TRX-100183,2023-02-17,Air Jordan 11 Retro,Chicago,VNDS (Very Near Deadstock),226.0,236.38,stockx,14.0,10.379999999999995
183,TRX-100184,2023-05-08,Air Jordan 3 Retro,Military Blue,Used,208.0,128.21,kick hub 2026,9.0,-79.78999999999999
184,TRX-100185,2025-06-20,Air Jordan 4 Retro,Black Cat,VNDS (Very Near Deadstock),213.0,235.86,goat,4.0,22.860000000000014
185,TRX-100186,2024-08-26,Air Jordan 1 Low,Pine Green,Deadstock (Brand New),132.0,180.21,kick hub 2026,36.0,48.21000000000001
186,TRX-100187,2023-10-08,Air Jordan 4 Retro,Black Cat,VNDS (Very Near Deadstock),225.0,224.29,goat,2.0,-0.710000000000008
187,TRX-100188,2025-01-12,Air Jordan 4 Retro,Lost & Found,Deadstock (Brand New),218.0,326.39,stockx,4.0,108.39
188,TRX-100189,2023-10-19,Air Jordan 1 High,Black Cat,VNDS (Very Near Deadstock),190.0,256.71,stadium goods,47.0,66.70999999999998
189,TRX-100190,2023-05-27,Air Jordan 4 Retro,Chicago,Used,210.0,154.63,stadium goods,42.0,-55.370000000000005
190,TRX-100191,2023-03-03,Air Jordan 1 Low,Pine Green,Used,124.0,86.82,goat,1.0,-37.18000000000001
191,TRX-100192,2023-04-10,Air Jordan 1 Low,Bred,VNDS (Very Near Deadstock),112.0,112.3,goat,14.0,0.2999999999999971
192,TRX-100193,2023-09-14,Air Jordan 3 Retro,Military Blue,VNDS (Very Near Deadstock),200.0,262.91,kick hub 2026,23.0,62.910000000000025
193,TRX-100194,2025-06-02,Air Jordan 3 Retro,Pine Green,VNDS (Very Near Deadstock),205.0,278.45,kick hub 2026,28.0,73.44999999999999
194,TRX-100195,2024-06-06,Air Jordan 3 Retro,Chicago,Deadstock (Brand New),209.0,517.53,goat,10.0,308.53
195,TRX-100196,2024-03-20,Air Jordan 3 Retro,Black Cat,VNDS (Very Near Deadstock),204.0,256.3,walk-in retail,39.0,52.30000000000001
196,TRX-100197,2025-06-12,Air Jordan 3 Retro,Sail,Used,207.0,146.56,goat,5.0,-60.44
197,TRX-100198,2024-11-26,Air Jordan 3 Retro,Sail,Deadstock (Brand New),210.0,665.39,goat,11.0,455.39
198,TRX-100199,2023-06-08,Air Jordan 1 Low,Bred,Used,137.0,76.96,stockx,5.0,-60.040000000000006
199,TRX-100200,2024-07-27,Air Jordan 1 Low,Lost & Found,Deadstock (Brand New),131.0,335.31,kick hub 2026,50.0,204.31
200,TRX-100201,2025-06-06,Air Jordan 1 Low,Chicago,VNDS (Very Near Deadstock),114.0,123.08,stockx,10.0,9.079999999999998
201,TRX-100202,2024-07-31,Air Jordan 11 Retro,Military Blue,Deadstock (Brand New),227.0,446.18,walk-in retail,59.0,219.18
202,TRX-100203,2024-05-04,Air Jordan 1 High,Concord,Deadstock (Brand New),172.0,217.8,stockx,9.0,45.80000000000001
203,TRX-100204,2024-11-23,Air Jordan 3 Retro,Mocha,Deadstock (Brand New),202.0,375.91,stadium goods,29.0,173.91000000000005
204,TRX-100205,2025-09-21,Air Jordan 1 High,Sail,Deadstock (Brand New),170.0,349.42,stockx,4.0,179.42000000000002
205,TRX-100206,2025-01-25,Air Jordan 3 Retro,Lost & Found,Deadstock (Brand New),200.0,530.63,walk-in retail,32.0,330.63
206,TRX-100207,2024-11-17,Air Jordan 1 High,Military Blue,Used,188.0,116.99,kick hub 2026,24.0,-71.01
207,TRX-100208,2023-02-10,Air Jordan 1 Low,Mocha,Deadstock (Brand New),131.0,299.32,walk-in retail,29.0,168.32
208,TRX-100209,2024-12-25,Air Jordan 11 Retro,Chicago,Deadstock (Brand New),230.0,462.29,stockx,11.0,232.29
209,TRX-100210,2025-01-22,Air Jordan 4 Retro,Military Blue,VNDS (Very Near Deadstock),220.0,248.39,goat,1.0,28.389999999999983
